ID,Initial Location,Bulk Volume
FC01,Flat,3.7054
FC02,Flat,3.9179
FC03,Flat,3.5666
FC04,Flat,4.3558
FC05,Flat,4.3174
FC06,Flat,3.5459
FC07,Flat,4.2735
FC08,Flat,3.1024
FC09,Flat,3.9097
FC10,Flat,4.3274
FC11,Flat,3.8282
FC12,Flat,4.1653
FC13,Flat,3.5565
FC14,Flat,4.85
FC15,Flat,4.5672
FC16,Flat,3.3463
FC17,Flat,3.2577
FC18,Flat,4.6311
FC19,Flat,3.8795
FC20,Flat,4.0413
FC21,Flat,3.7551
FC22,Flat,3.6007
FC23,Flat,3.4277
FC24,Flat,4.0168
FC25,Flat,3.7021
SC01,Slope,4.3205
SC02,Slope,4.7112
SC03,Slope,4.686
SC04,Slope,4.979
SC05,Slope,4.3045
SC06,Slope,4.1006
SC08,Slope,2.828
SC09,Slope,5.4609
SC10,Slope,5.5885
SC11,Slope,4.9369
SC12,Slope,3.5672
SC14,Slope,5.2836
SC15,Slope,4.8485
SC16,Slope,4.7344
SC17,Slope,3.7616
SC18,Slope,4.5086
SC19,Slope,5.8552
SC20,Slope,4.0477
SC21,Slope,3.9314
SC22,Slope,4.1453
SC23,Slope,6.0452
SC24,Slope,5.4722
SC25,Slope,4.1584
